               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.035939,            0.036121,            0.012684,             0.85649,             0.85677,              0.9223,              0.5816,            0.031144,            0.029724,            0.012481,            0.005512,            0.005512,            0.005512
                 138,            0.037779,            0.048812,            0.013181,             0.87128,             0.85652,             0.92353,             0.56094,            0.034454,            0.030598,            0.012532,            0.005479,            0.005479,            0.005479
                 139,            0.038942,            0.043649,            0.014137,             0.92389,             0.82492,             0.92705,             0.57484,            0.028458,            0.029063,             0.01239,            0.005446,            0.005446,            0.005446
                 140,            0.033972,            0.038977,            0.012835,             0.88428,              0.8485,             0.92844,             0.65845,            0.028312,            0.029355,            0.012295,            0.005413,            0.005413,            0.005413
                 141,            0.036428,            0.035562,            0.011145,             0.87618,             0.85585,             0.93071,             0.67099,            0.026548,            0.028744,            0.012229,             0.00538,             0.00538,             0.00538
                 142,             0.03032,            0.030796,            0.012103,               0.873,             0.85657,             0.93683,             0.65929,            0.027378,            0.029266,            0.012067,            0.005347,            0.005347,            0.005347
                 143,            0.032543,            0.040415,            0.011477,             0.86618,             0.84892,               0.941,             0.62042,            0.030016,             0.02961,            0.011956,            0.005314,            0.005314,            0.005314
                 144,            0.037604,            0.037068,            0.011481,             0.88342,             0.85202,              0.9356,             0.53958,            0.032088,            0.029267,            0.011885,            0.005281,            0.005281,            0.005281
                 145,            0.037315,            0.037236,            0.013863,             0.86355,             0.85861,             0.94052,             0.62765,            0.029561,            0.029315,            0.011779,            0.005248,            0.005248,            0.005248
                 146,            0.035602,            0.030174,            0.012071,             0.89184,             0.85574,             0.95105,             0.60386,            0.029595,              0.0293,            0.011779,            0.005215,            0.005215,            0.005215
                 147,            0.032835,            0.031624,            0.011212,              0.8787,             0.85062,             0.94175,             0.56543,            0.032369,            0.029595,            0.011636,            0.005182,            0.005182,            0.005182
                 148,            0.035106,            0.031547,            0.011993,             0.87594,             0.85857,             0.93689,             0.55301,            0.032395,            0.029513,            0.011652,            0.005149,            0.005149,            0.005149
                 149,            0.039587,            0.038785,             0.01415,             0.91368,             0.83393,             0.94818,             0.63358,            0.029039,            0.029345,            0.011579,            0.005116,            0.005116,            0.005116
                 150,             0.03242,            0.046535,            0.012393,             0.92091,             0.84169,              0.9503,             0.70881,            0.025412,            0.028041,            0.011523,            0.005083,            0.005083,            0.005083
                 151,            0.033211,            0.037469,            0.013449,             0.93286,             0.82139,             0.95137,             0.59789,            0.032101,            0.030109,            0.011441,             0.00505,             0.00505,             0.00505
                 152,            0.037931,            0.038161,             0.01374,             0.91058,             0.85007,             0.95255,             0.64021,            0.027221,            0.028285,             0.01143,            0.005017,            0.005017,            0.005017
                 153,            0.036185,            0.037327,            0.011977,             0.90647,             0.84281,             0.95575,             0.64703,            0.029316,            0.029048,            0.011284,            0.004984,            0.004984,            0.004984
                 154,            0.035004,             0.03641,            0.013396,             0.90091,             0.85154,             0.95633,             0.64245,            0.028471,            0.028387,            0.011186,            0.004951,            0.004951,            0.004951
                 155,            0.035421,            0.039133,            0.012352,             0.91957,              0.8263,             0.95937,             0.64093,            0.029622,            0.028433,            0.011175,            0.004918,            0.004918,            0.004918
                 156,            0.037127,            0.034743,            0.010071,             0.91592,             0.84961,             0.96042,             0.59453,            0.028282,            0.027754,            0.011176,            0.004885,            0.004885,            0.004885
                 157,            0.036187,            0.041102,            0.012089,             0.91014,             0.85123,             0.95577,             0.66179,            0.030074,            0.028542,            0.011095,            0.004852,            0.004852,            0.004852
                 158,            0.033702,            0.040068,            0.012189,             0.92669,             0.85352,              0.9657,             0.66511,            0.026724,            0.027455,            0.011039,            0.004819,            0.004819,            0.004819
                 159,            0.034226,            0.036369,            0.010837,             0.93595,             0.85317,             0.96609,             0.66226,            0.028197,            0.028293,            0.010894,            0.004786,            0.004786,            0.004786
                 160,            0.034542,            0.047702,             0.01164,              0.9381,             0.85432,             0.96369,             0.65185,            0.026913,            0.027566,            0.010876,            0.004753,            0.004753,            0.004753
